"year","state","state_po","candidate","party","candidatevotes","totalvotes","percent_total_votes"
"2004","CALIFORNIA","CA","JOHN KERRY","DEMOCRAT",1907736,3021647,63.1356343080446
"2004","COLORADO","CO","JOHN KERRY","DEMOCRAT",166135,238672,69.6080813836562
"2004","CONNECTICUT","CT","JOHN KERRY","DEMOCRAT",229902,391808,58.6772092453447
"2004","DISTRICT OF COLUMBIA","DC","JOHN KERRY","DEMOCRAT",202970,227586,89.1838689550324
"2004","DELAWARE","DE","JOHN KERRY","DEMOCRAT",146171,241444,60.5403323337917
"2004","FLORIDA","FL","JOHN KERRY","DEMOCRAT",453873,706872,64.208654466438
"2004","GEORGIA","GA","JOHN KERRY","DEMOCRAT",200787,276139,72.7122934464165
"2004","HAWAII","HI","JOHN KERRY","DEMOCRAT",152500,298547,51.0807343567344
"2004","IOWA","IA","JOHN KERRY","DEMOCRAT",105218,202618,51.9292461676653
"2004","IDAHO","ID","GEORGE W. BUSH","REPUBLICAN",94641,155002,61.0579218332667
"2004","ILLINOIS","IL","JOHN KERRY","DEMOCRAT",1439724,2049434,70.2498348324464
"2004","INDIANA","IN","JOHN KERRY","DEMOCRAT",162249,320838,50.5703813139341
"2004","KANSAS","KS","GEORGE W. BUSH","REPUBLICAN",158103,258687,61.1174894756984
"2004","KENTUCKY","KY","JOHN KERRY","DEMOCRAT",170158,337350,50.4396027864236
"2004","LOUISIANA","LA","JOHN KERRY","DEMOCRAT",152610,197103,77.4265231883837
"2004","MASSACHUSETTS","MA","JOHN KERRY","DEMOCRAT",440862,688960,63.9894914073386
"2004","MARYLAND","MD","JOHN KERRY","DEMOCRAT",273936,415225,65.9729062556445
"2004","MAINE","ME","JOHN KERRY","DEMOCRAT",76911,135485,56.7671697973945
"2004","MICHIGAN","MI","JOHN KERRY","DEMOCRAT",600047,864728,69.3914155665134
"2004","MINNESOTA","MN","JOHN KERRY","DEMOCRAT",383842,646984,59.3278968258875
"2004","MISSOURI","MO","JOHN KERRY","DEMOCRAT",295284,542983,54.381813058604
"2004","MISSISSIPPI","MS","JOHN KERRY","DEMOCRAT",51370,86265,59.5490639309106
"2004","MONTANA","MT","GEORGE W. BUSH","REPUBLICAN",40903,66286,61.7068460911806
"2004","NORTH CAROLINA","NC","GEORGE W. BUSH","REPUBLICAN",177324,348844,50.8318904725321
"2004","NORTH DAKOTA","ND","GEORGE W. BUSH","REPUBLICAN",39619,66711,59.3890063108033
"2004","NEBRASKA","NE","GEORGE W. BUSH","REPUBLICAN",120813,207071,58.3437564893201
"2004","NEW HAMPSHIRE","NH","GEORGE W. BUSH","REPUBLICAN",99724,195427,51.0287728921797
"2004","NEW JERSEY","NJ","JOHN KERRY","DEMOCRAT",207666,400244,51.8848502413528
"2004","NEW MEXICO","NM","JOHN KERRY","DEMOCRAT",132252,256811,51.4977940976049
"2004","NEVADA","NV","JOHN KERRY","DEMOCRAT",281767,545397,51.6627337517441
"2004","NEW YORK","NY","JOHN KERRY","DEMOCRAT",509841,641747,79.4457940590295
"2004","OHIO","OH","JOHN KERRY","DEMOCRAT",448486,673766,66.5640593321717
"2004","OKLAHOMA","OK","GEORGE W. BUSH","REPUBLICAN",174741,272039,64.2338047118244
